time_s,body,x_m,y_m,vx_m_s,vy_m_s,speed_m_s,radius_from_central_m,kinetic_J,potential_J,total_energy_J,angular_momentum_kg_m2_s
0.0,Sun,-454840.833361577,0.0,0.0,-0.0905943457744383,0.0905943457744383,0.0,2.68396519894693e+33,-5.363309355295236e+33,-2.679344156348306e+33,2.695004903147565e+40
0.0,Earth,149597415859.16663,0.0,0.0,29785.05157487525,29785.05157487525,149597870700.0,2.68396519894693e+33,-5.363309355295236e+33,-2.679344156348306e+33,2.695004903147565e+40
0.0,Moon,149981815859.16663,0.0,0.0,30807.05157487525,30807.05157487525,149982270700.0,2.68396519894693e+33,-5.363309355295236e+33,-2.679344156348306e+33,2.695004903147565e+40
86400.0,Sun,-454773.5425803635,-7826.968150605716,0.0015576179257896954,-0.09058094296294811,0.09059433426908992,0.0,2.6839644748617133e+33,-5.363308631203764e+33,-2.67934415634205e+33,2.695004903147564e+40
86400.0,Earth,149575405053.7827,2573311803.2287855,-509.50930716002466,29780.972219096082,29785.33038340611,149597994027.33588,2.6839644748617133e+33,-5.363308631203764e+33,-2.67934415634205e+33,2.695004903147564e+40
86400.0,Moon,149949770533.55606,2660836382.348081,-740.7386634968136,30775.883501059496,30784.796556715864,149973831589.23392,2.6839644748617133e+33,-5.363308631203764e+33,-2.67934415634205e+33,2.695004903147564e+40
172800.0,Sun,-454571.6902006449,-15651.620409524876,0.003114773736165262,-0.09054073851933823,0.09059429974923744,0.0,2.6839623144895636e+33,-5.363306470814353e+33,-2.679344156324789e+33,2.6950049031475633e+40
172800.0,Earth,149509372720.26117,5145918208.498002,-1019.0158489441637,29768.71725114595,29786.153160135902,149598359256.24933,2.6839623144895636e+33,-5.363306470814353e+33,-2.679344156324789e+33,2.6950049031475633e+40
172800.0,Moon,149854168528.0824,5316329487.0085745,-1469.1865716181198,30683.862111885464,30719.01533713969,149948896594.833,2.6839623144895636e+33,-5.363306470814353e+33,-2.679344156324789e+33,2.6950049031475633e+40
259200.0,Sun,-454235.33610784455,-23471.641574681584,0.00467100546245446,-0.09047374441583377,0.0905942422047444,0.0,2.6839587510898007e+33,-5.363302907390485e+33,-2.6793441563006845e+33,2.6950049031475637e+40
259200.0,Earth,149399319533.53555,7717110952.052756,-1528.5071477470688,29748.23785596241,29787.48041771289,149598952422.4799,2.6839587510898007e+33,-5.363302907390485e+33,-2.6793441563006845e+33,2.6950049031475637e+40
259200.0,Moon,149696576848.05115,7961387825.6281185,-2173.846964747668,30535.28241860876,30612.564136483892,149908589430.4423,2.6839587510898007e+33,-5.363302907390485e+33,-2.6793441563006845e+33,2.6950049031475637e+40
345600.0,Sun,-453764.5800899117,-31284.717823155464,0.006225851428128315,-0.09037998060481074,0.09059416162276183,0.0,2.683953832705539e+33,-5.363297988981128e+33,-2.6793441562755895e+33,2.695004903147563e+40
345600.0,Earth,149245247957.5607,10286176345.885159,-2037.953177168687,29719.458322727543,29789.250681221765,149599751169.42572,2.683953832705539e+33,-5.363297988981128e+33,-2.6793441562755895e+33,2.695004903147563e+40
