time_s,body,x_m,y_m,vx_m_s,vy_m_s,speed_m_s,radius_from_central_m,kinetic_J,potential_J,total_energy_J,angular_momentum_kg_m2_s
604800.0,Jupiter,-7892015967.261789,777126958348.0806,-13048.51907251909,-132.63910812134034,13049.193198006446,777908889352.4651,1.6176252084803108e+35,-3.2383374609867987e+35,-1.6207122525064879e+35,1.9268076571233355e+43
691200.0,Sun,8609623.281640777,-741808873.2142289,12.455503266505016,0.14469767557932225,12.456343726761686,0.0,1.6176252549758397e+35,-3.2383375074823074e+35,-1.6207122525064678e+35,1.9268076571233353e+43
691200.0,Probe,148200038668.60034,29733663679.38915,-4027.9896380883038,43817.67091671757,44002.42021855507,151292610757.42664,1.6176252549758397e+35,-3.2383375074823074e+35,-1.6207122525064678e+35,1.9268076571233353e+43
691200.0,Jupiter,-9019399317.669552,777114679788.4917,-13048.312906675665,-151.58675576820696,13049.19339480579,777908877631.922,1.6176252549758397e+35,-3.2383375074823074e+35,-1.6207122525064678e+35,1.9268076571233353e+43
777600.0,Sun,9685769.329099506,-741795589.9948953,12.455280253041874,0.16278419672252048,12.4563439610713,0.0,1.6176253076939773e+35,-3.2383375602004228e+35,-1.6207122525064455e+35,1.9268076571233358e+43
777600.0,Probe,147830897795.9855,33514989379.054016,-4515.965000803529,43710.98930470919,43943.65171313012,151738716356.25946,1.6176253076939773e+35,-3.2383375602004228e+35,-1.6207122525064455e+35,1.9268076571233358e+43
777600.0,Jupiter,-10146763667.88591,777100764165.5996,-13048.079253354455,-170.53408499721348,13049.193617843395,777908864348.7142,1.6176253076939773e+35,-3.2383375602004228e+35,-1.6207122525064455e+35,1.9268076571233358e+43
864000.0,Sun,10761894.974688495,-741780744.1145933,12.455031001083658,0.1808703764927613,12.456344220157359,0.0,1.6176253666429832e+35,-3.238337619149405e+35,-1.6207122525064217e+35,1.9268076571233358e+43
864000.0,Probe,147419842449.7129,37286604956.28096,-4998.136769973416,43592.963248885106,43878.557587847026,152235328189.52158,1.6176253666429832e+35,-3.238337619149405e+35,-1.6207122525064217e+35,1.9268076571233358e+43
864000.0,Jupiter,-11274106643.013432,777085211508.6345,-13047.818113043448,-189.48105600822177,13049.19386711879,777908849502.8694,1.6176253666429832e+35,-3.238337619149405e+35,-1.6207122525064217e+35,1.9268076571233358e+43
950400.0,Sun,11837997.95142268,-741764335.6044596,12.454755511124556,0.1989561768798834,12.456344503994988,0.0,1.6176254318318249e+35,-3.23833768433822e+35,-1.6207122525063953e+35,1.9268076571233355e+43
950400.0,Probe,146967397010.59406,41047546293.96178,-5473.979476586587,43463.96907752411,43807.31741709441,152781814387.74927,1.6176254318318249e+35,-3.23833768433822e+35,-1.6207122525063953e+35,1.9268076571233355e+43
950400.0,Jupiter,-12401425868.199318,777068021850.266,-13047.52948628804,-208.42762900183308,13049.194142631459,777908833094.4188,1.6176254318318249e+35,-3.23833768433822e+35,-1.6207122525063953e+35,1.9268076571233355e+43
1036800.0,Sun,12914075.99236215,-741746364.4989152,12.454453783715262,0.21704155987317159,12.456344812560848,0.0,1.6176255032700985e+35,-3.238337755776467e+35,-1.6207122525063685e+35,1.926807657123336e+43
1036800.0,Probe,146474129811.73248,44796882964.03756,-5943.00149787132,43324.409728887025,43730.124001198325,153377490121.31097,1.6176255032700985e+35,-3.238337755776467e+35,-1.6207122525063685e+35,1.926807657123336e+43
1036800.0,Jupiter,-13528718968.64038,777049195226.6019,-13047.213373691031,-227.37376417947044,13049.194444380819,777908815123.3966,1.6176255032700985e+35,-3.238337755776467e+35,-1.6207122525063685e+35,1.926807657123336e+43
1123200.0,Sun,13990126.830617016,-741726830.8356647,12.454125819463044,0.23512648746160125,12.45634514583319,0.0,1.6176255809679503e+35,-3.2383378334742903e+35,-1.62071225250634e+35,1.9268076571233358e+43
1123200.0,Probe,145940650140.5276,48533720384.591194,-6404.746693918001,43174.711448010006,43647.18191169024,154021621212.84604,1.6176255809679503e+35,-3.2383378334742903e+35,-1.62071225250634e+35,1.9268076571233358e+43
1123200.0,Jupiter,-14655983569.58799,777028731677.189,-13046.869775912628,-246.3194217434606,13049.194772366242,777908795589.8407,1.6176255809679503e+35,-3.2383378334742903e+35,-1.62071225250634e+35,1.9268076571233358e+43
1209600.0,Sun,15066148.199352294,-741705734.6556973,12.453771619031823,0.2532109216340865,12.456345503791924,0.0,1.617625664935995e+35,-3.2383379174423058e+35,-1.6207122525063108e+35,1.9268076571233358e+43
1209600.0,Probe,145367605116.20117,52257201688.31381,-6858.795652799464,43015.32041729592,43558.706000172875,154713427899.6913,1.617625664935995e+35,-3.2383379174423058e+35,-1.6207122525063108e+35,1.9268076571233358e+43
1209600.0,Jupiter,-15783217296.353039,777006631245.012,-13046.498693670439,-265.2645618971163,13049.19512658704,777908774493.7919,1.617625664935995e+35,-3.2383379174423058e+35,-1.6207122525063108e+35,1.9268076571233358e+43
1296000.0,Sun,16142137.83179282,-741683076.0032862,12.453391183142195,0.2712948243797285,12.456345886418656,0.0,1.6176257551852317e+35,-3.238338007691513e+35,-1.6207122525062811e+35,1.9268076571233358e+43
1296000.0,Probe,144755676476.49875,55966509298.69427,-7304.766549390026,42846.69936839493,43464.919890719946,155452088705.74838,1.6176257551852317e+35,-3.238338007691513e+35,-1.6207122525062811e+35,1.9268076571233358e+43
1296000.0,Jupiter,-16910417774.3109,776982893976.4949,-13046.100127739472,-284.2091448448185,13049.195507042465,777908751835.2949,1.6176257551852317e+35,-3.238338007691513e+35,-1.6207122525062811e+35,1.9268076571233358e+43
1382400.0,Sun,17218093.46122814,-741658854.9259888,12.452984512571462,0.2893781576880637,12.456346293696704,0.0,1.617625851726968e+35,-3.2383381042332183e+35,-1.6207122525062503e+35,1.9268076571233358e+43
1382400.0,Probe,144105577306.4865,59660866214.27234,-7742.315629474702,42669.324220124756,43366.05447476786,156236744383.1218,1.617625851726968e+35,-3.2383381042332183e+35,-1.6207122525062503e+35,1.9268076571233358e+43
