time_s,body,x_m,y_m,vx_m_s,vy_m_s,speed_m_s,radius_from_central_m,kinetic_J,potential_J,total_energy_J,angular_momentum_kg_m2_s
0.0,Body1,175725488934.01978,29654535221.579727,-363.57764190023954,1246.5084057434888,1298.4498093029677,0.0,3.0760074815701026e+38,-7.586009583688593e+39,-7.278408835531583e+39,-2.9768521419172776e+45
0.0,Body2,-197888579407.0746,48731201656.27931,4417.046200571095,-743.140970035126,4479.124427756422,374100776883.24133,3.0760074815701026e+38,-7.586009583688593e+39,-7.278408835531583e+39,-2.9768521419172776e+45
0.0,Body3,-83468818379.4105,-188501808705.33093,-842.0921133114043,6351.535958244877,6407.115431781992,338782938382.74304,3.0760074815701026e+38,-7.586009583688593e+39,-7.278408835531583e+39,-2.9768521419172776e+45
0.0,Body4,216895144720.9425,36765436798.97377,-12491.148454423079,-8771.895049615554,15263.516386203604,41779246987.67422,3.0760074815701026e+38,-7.586009583688593e+39,-7.278408835531583e+39,-2.9768521419172776e+45
0.0,Body5,-132985417239.72649,-38683124586.94942,13578.69672904747,8583.57086729486,16064.205355177624,316184217409.2847,3.0760074815701026e+38,-7.586009583688593e+39,-7.278408835531583e+39,-2.9768521419172776e+45
86400.0,Body1,175896275325.03723,29795688990.756565,4384.079097654465,2017.8335524523336,4826.1580765546,0.0,4.677253104774716e+38,-7.746131090407852e+39,-7.27840577993038e+39,-2.9768521419172795e+45
86400.0,Body2,-197491108775.3731,48651168170.40835,4784.42266472174,-1109.3962854573813,4911.3603362907215,373863167081.81036,4.677253104774716e+38,-7.746131090407852e+39,-7.27840577993038e+39,-2.9768521419172795e+45
86400.0,Body3,-83542495680.53749,-187935255237.48492,-863.1686976267325,6763.470511478852,6818.327768610617,338696383174.3773,4.677253104774716e+38,-7.746131090407852e+39,-7.27840577993038e+39,-2.9768521419172795e+45
86400.0,Body4,215579213389.3362,35967776700.21489,-18044.56552870021,-9689.046603648676,20481.30780021705,40160057770.2303,4.677253104774716e+38,-7.746131090407852e+39,-7.27840577993038e+39,-2.9768521419172795e+45
86400.0,Body5,-131829367786.78815,-37913142197.06065,13179.898399875618,9239.439967575727,16095.868188621564,315086586908.1178,4.677253104774716e+38,-7.746131090407852e+39,-7.27840577993038e+39,-2.9768521419172795e+45
172800.0,Body1,176498901806.43918,30003003018.136852,9688.211803698176,2781.657840416753,10079.63631756963,0.0,7.417417054986798e+38,-8.020140626516288e+39,-7.278398921017608e+39,-2.9768521419172776e+45
172800.0,Body2,-197061694215.52606,48539506093.890564,5156.563921329385,-1475.3693253290617,5363.4751906648935,374020214489.22156,7.417417054986798e+38,-8.020140626516288e+39,-7.278398921017608e+39,-2.9768521419172776e+45
172800.0,Body3,-83617934205.58264,-187333022456.8966,-882.8636219282807,7177.441543169974,7231.5361632606455,338962706423.8623,7.417417054986798e+38,-8.020140626516288e+39,-7.278398921017608e+39,-2.9768521419172776e+45
