time_s,body,x_m,y_m,vx_m_s,vy_m_s,speed_m_s,radius_from_central_m,kinetic_J,potential_J,total_energy_J,angular_momentum_kg_m2_s
0.0,Sun,542081129.3474365,0.0,0.060010829053682005,14.571327526575676,14.571451100914613,0.0,2.225535214958065e+35,-4.961247229726364e+35,-2.7357120147682992e+35,1.6471324022418046e+43
0.0,FallingPlanet,15501868199.347437,0.0,-19999.939989170947,14.571327526575676,19999.945297275815,14959787070.0,2.225535214958065e+35,-4.961247229726364e+35,-2.7357120147682992e+35,1.6471324022418046e+43
0.0,OuterGiant,-567929827530.6526,0.0,0.060010829053682005,-15264.884212173134,15264.884212291096,568471908660.0,2.225535214958065e+35,-4.961247229726364e+35,-2.7357120147682992e+35,1.6471324022418046e+43
360.0,Sun,542081151.0413473,5245.677909567244,0.060511207948394,14.571327525892885,14.571453169575472,0.0,2.2257917012651e+35,-4.961503715344029e+35,-2.7357120140789293e+35,1.6471324022418043e+43
360.0,FallingPlanet,15494629792.823994,5245.677909567244,-20213.53295934168,14.57132752594405,20213.53821135672,14952548641.782646,2.2257917012651e+35,-4.961503715344029e+35,-2.7357120140789293e+35,1.6471324022418043e+43
360.0,OuterGiant,-567929827482.4364,-5495358.316382328,0.20785713867719774,-15264.884211457844,15264.884212873007,568471908660.0901,2.2257917012651e+35,-4.961503715344029e+35,-2.7357120140789293e+35,1.6471324022418043e+43
720.0,Sun,542081172.9155062,10491.355818642876,0.06101221155026959,14.571327523844513,14.57145525666901,0.0,2.2260511659617726e+35,-4.961763179341674e+35,-2.7357120133799013e+35,1.6471324022418046e+43
720.0,FallingPlanet,15487314455.61671,10491.355818679715,-20427.333928482156,14.57132752404912,20427.339125527436,14945233282.701204,2.2260511659617726e+35,-4.961763179341674e+35,-2.7357120133799013e+35,1.6471324022418046e+43
720.0,OuterGiant,-567929827380.9955,-10990716.632249648,0.3557034482972937,-15264.884209311975,15264.88421345629,568471908660.3601,2.2260511659617726e+35,-4.961763179341674e+35,-2.7357120133799013e+35,1.6471324022418046e+43
1080.0,Sun,542081194.9701396,15737.033726735292,0.06151384739443168,14.57132752043056,14.57145736229147,0.0,2.2263136201084527e+35,-4.962025632779578e+35,-2.7357120126711254e+35,1.6471324022418046e+43
1080.0,FallingPlanet,15479922112.395485,15737.03372688261,-20641.345405439966,14.571327520890794,20641.35054860179,14937840917.425344,2.2263136201084527e+35,-4.962025632779578e+35,-2.7357120126711254e+35,1.6471324022418046e+43
1080.0,OuterGiant,-567929827226.33,-16486074.94708695,0.5035497579001453,-15264.884205735527,15264.884214040942,568471908660.8104,2.2263136201084527e+35,-4.962025632779578e+35,-2.7357120126711254e+35,1.6471324022418046e+43
1440.0,Sun,542081217.2054764,20982.71163335288,0.06201612305367538,14.571327515651024,14.571459486540368,0.0,2.2265790749172755e+35,-4.962291086869785e+35,-2.7357120119525096e+35,1.6471324022418043e+43
1440.0,FallingPlanet,15472452686.924791,20982.711633721086,-20855.56991160584,14.571327516468969,20855.575001938076,14930371469.719315,2.2265790749172755e+35,-4.962291086869785e+35,-2.7357120119525096e+35,1.6471324022418043e+43
1440.0,OuterGiant,-567929827018.4397,-21981433.260379225,0.6513960674719281,-15264.8842007285,15264.884214626962,568471908661.4413,2.2265790749172755e+35,-4.962291086869785e+35,-2.7357120119525096e+35,1.6471324022418043e+43
1800.0,Sun,542081239.6217483,26228.38953800403,0.06251904613901417,14.57132750950591,14.571461629514516,0.0,2.2268475417534903e+35,-4.962559552977451e+35,-2.735712011223961e+35,1.6471324022418046e+43
1800.0,FallingPlanet,15464906102.059128,26228.389538740266,-21070.009981095456,14.571327510783547,21070.015019620834,14922824862.43738,2.2268475417534903e+35,-4.962559552977451e+35,-2.735712011223961e+35,1.6471324022418046e+43
1800.0,OuterGiant,-567929826757.3248,-27476791.571611468,0.7992423769988176,-15264.884194290895,15264.884215214353,568471908662.2529,2.2268475417534903e+35,-4.962559552977451e+35,-2.735712011223961e+35,1.6471324022418046e+43
2160.0,Sun,542081262.2191896,31474.067440197137,0.06302262430023174,14.571327501995214,14.571463791314027,0.0,2.227119032136831e+35,-4.9628310426222156e+35,-2.7357120104853847e+35,1.6471324022418046e+43
2160.0,FallingPlanet,15457282279.738401,31474.067441485236,-21284.668160933226,14.571327503834425,21284.67314864454,14915201017.51921,2.227119032136831e+35,-4.9628310426222156e+35,-2.7357120104853847e+35,1.6471324022418046e+43
2160.0,OuterGiant,-567929826442.9852,-32972149.88026867,0.9470886864669891,-15264.88418642271,15264.884215803117,568471908663.2458,2.227119032136831e+35,-4.9628310426222156e+35,-2.7357120104853847e+35,1.6471324022418046e+43
2520.0,Sun,542081284.9980378,36719.74533944058,0.06352686522643983,14.571327493118936,14.57146597204033,0.0,2.2273935577429134e+35,-4.9631055674795994e+35,-2.735712009736686e+35,1.6471324022418048e+43
2520.0,FallingPlanet,15449581140.983255,36719.74534150105,-21499.54701123799,14.571327495621498,21499.551949099252,14907499855.985218,2.2273935577429134e+35,-4.9631055674795994e+35,-2.735712009736686e+35,1.6471324022418048e+43
2520.0,OuterGiant,-567929826075.421,-38467508.18583582,1.094934995862618,-15264.884177123948,15264.884216393248,568471908664.4198,2.2273935577429134e+35,-4.9631055674795994e+35,-2.735712009736686e+35,1.6471324022418048e+43
2880.0,Sun,542081307.9585327,41965.423235242764,0.0640317766466419,14.571327482877077,14.571468171796187,0.0,2.22767113040465e+35,-4.96338313938242e+35,-2.7357120089777703e+35,1.6471324022418048e+43
