time_s,body,x_m,y_m,vx_m_s,vy_m_s,speed_m_s,radius_from_central_m,kinetic_J,potential_J,total_energy_J,angular_momentum_kg_m2_s
172800.0,Planet,-12368370099.57843,208118443938.08566,-18289.63834122232,-1435.5096847033617,18345.886697229616,217630238224.5337,8.993581882064008e+38,-1.913841798786877e+39,-1.0144836105804762e+39,6.942480172848454e+45
172800.0,Perturber,231440074065.0859,-156036139164.5096,7232.494714585513,12880.533082874264,14772.17358060505,353056799770.1397,8.993581882064008e+38,-1.913841798786877e+39,-1.0144836105804762e+39,6.942480172848454e+45
259200.0,StarA,-83883015479.86203,743397166.8887504,1247.7474238652887,-21515.1939335837,21551.344357916038,0.0,8.991141336307771e+38,-1.9135977437563835e+39,-1.0144836101256064e+39,6.942480172848452e+45
259200.0,StarB,65318694693.750854,11648564965.833376,-1807.9016784337866,20469.75198590617,20549.43441663038,149599709235.8602,8.991141336307771e+38,-1.9135977437563835e+39,-1.0144836101256064e+39,6.942480172848452e+45
259200.0,Planet,-13947838483.49101,207974196980.79575,-18271.047121070347,-1903.598257858913,18369.9441813985,218713358926.75903,8.991141336307771e+38,-1.9135977437563835e+39,-1.0144836101256064e+39,6.942480172848452e+45
259200.0,Perturber,232055057104.96432,-154915142477.96286,7003.300070387369,13068.167278343448,14826.436115623137,352202280902.5842,8.991141336307771e+38,-1.9135977437563835e+39,-1.0144836101256064e+39,6.942480172848452e+45
345600.0,StarA,-83752861668.68271,-1113865145.5823436,1764.9021592846827,-21474.885835078698,21547.287561582118,0.0,8.988767376119564e+38,-1.9133603472805895e+39,-1.014483609668633e+39,6.942480172848453e+45
345600.0,StarB,65140934406.056885,13414857803.722952,-2306.755109965715,20414.576714583574,20544.489810481322,149600956882.2466,8.988767376119564e+38,-1.9133603472805895e+39,-1.014483609668633e+39,6.942480172848453e+45
345600.0,Planet,-15525423460.8745,207789490255.08466,-18246.03669164969,-2372.1030786188726,18399.584994467128,219762588313.06494,8.988767376119564e+38,-1.9133603472805895e+39,-1.014483609668633e+39,6.942480172848453e+45
345600.0,Perturber,232650256514.94458,-153778010176.92157,6774.5318938767705,13254.042116419774,14885.023171126833,351307948066.1834,8.988767376119564e+38,-1.9133603472805895e+39,-1.014483609668633e+39,6.942480172848453e+45
432000.0,StarA,-83578073484.40198,-2967107557.1178327,2280.8996833537767,-21422.146229374805,21543.232172500033,0.0,8.986470688516797e+38,-1.9131306780625844e+39,-1.0144836092109047e+39,6.942480172848452e+45
432000.0,StarB,64920119646.394966,15175852306.399448,-2804.4814687161247,20347.11093410375,20539.475155736007,149602407586.64502,8.986470688516797e+38,-1.9131306780625844e+39,-1.0144836092109047e+39,6.942480172848452e+45
